post_id,author,date,reply_to_post_id,original_review,expected_grade,perceived_difficulty,workload_intensity,hours_per_week,teaching_quality,relevance_usefulness,interest_enjoyment,overall_recommendation,grading_fairness,schedule_timing,attendance_policy,recorded_lectures,flexibility,delivery_mode
6697371191,ap3jedi,"Wednesday, April 30, 2025 10:02 PM",,"AY24/25 Sem 1
Lecturer: Prof Zimmermann and Prof Anandha
BZA student here. i wont tell you what the mod constitutes as you can look at the other reviews or do your own digging ;). but what i'll offer is my raw and honest review.
As someone who has not ever scored an >A- for the previous CS1010A and CS2030 mods, i went into the mod not having much hope, wishing I could SU it.
Got below mean and median for midterms, failed it, in actual fact. i was crushed... :(
Despite maxxing out the ODAs, THAs and Visualgo quiz, things did not look too good. However, when i realised this might potentially be the last CS coded mod i would ever do, something in me clicked, and i decided to do the best i could.
what i did:
1. grinded about 15 PYPs
2. spam asked chatgpt to help me explain answer keys...
3. attended and listened to all the tutorials attentively (by Prof Roger Zimmermann), asking him questions too.
4. lastly, booked a consult with Prof Anandha during finals season after i did at least 7 papers
thankfully, the unexpected happened and i got my first A for a cs-coded mod. felt truly blessed :)
now im in no way trying to brag thru this post please dont get me wrong, but rather i wanna share with all juniors out there two things to takeaway:
1. never lose hope, odds may be stacked against u, but there is still a possibility to turn things around. i mean, my track record for CS mods were Bs...(not a bad grade but was hoping to get at least B+s) ++ failed midterms. was shocked that i could get 78/100 for finals...
2. really make full use and cultivate a good relationship with the profs. profs Z and A were extremely helpful, patient and effective in their explanations. i am immensely grateful for them! highly recommend them :))",,,,,positive,,,recommended,,,,,,
6798603297,Dr Ilyas Bellingham,"Wednesday, November 19, 2025 7:40 PM",6697371191,How did you manage to grind 15 PYPs. I've just done 2 MCQs sections and my exam is in 8 days. Anyways wanted to say it's a very inspiring review. Will prb grind 2-3 more pyps also b4 finals.,,,,,,,,,,,,,,
6798608315,ap3jedi,"Wednesday, November 19, 2025 7:59 PM",6798603297,"Hi Ilyas! Firstly, all the best for your finals, its gonna be over in a bit so press on.
Sad to say, there's no easy way around it. You'd have to sit yourself down and really go thru paper after paper.
What I liked to do was to mark the paper as soon as I'm done (of course with some questions skipped). In that way, the questions would still be fresh in my memory, instead of re-visiting a paper I've done days ago and trying to und the qn over again. Its my preference though.
Something else that helped was to circle those questions I skipped/made mistakes in, so at the end of it all, I could refer to them if I dont have time to go through all questions.
In my humble opinion, you still have time - 8 days is sufficient for you to do more than 2-3 pyps, though I understand you might have other mods to study for.
Nonetheless, I'd recommend covering at least 5? And perhaps do the 5 newest ones. Maybe save the latest paper for your last, and do under exam conditions - standard tips.
Hope this helps mate!
edit: I forgot to point out that I only had 2 finals to study for that sem...hence this gave me ample time to complete that amount of papers",,easy,,,,,,,,,,,,
6801201686,Dr Ilyas Bellingham,"Tuesday, November 25, 2025 7:53 PM",6798608315,Hi. Thanks for the advice. Made some progress but think I'll prb only be able to hit 3-4 max. Hope things go well.,,,,,,,,,,,,,,
6802043097,ap3jedi,"Thursday, November 27, 2025 4:14 PM",6801201686,"Hope things go well for you too mate, don't worry, what I did was a bit extreme and out of desperation",,,,,,,,,,,,,,
6803296841,Dr Ilyas Bellingham,"Monday, December 1, 2025 12:24 AM",6802043097,ahh ic. tbh i think i didnt do well for finals but no regrets. just got to keep moving forward from here on out i guess.,,,,,,,,,,,,,,
5413942781,Russell Saerang,"Thursday, June 10, 2021 12:47 AM",,"AY20/21 Sem 2
Lecturer: Prof. Chong Ket Fah
Assessment:
3% Tutorial Attendance
2% Lab Attendance
15% One Day Assignments (ODA, 10 x 1.5%)
12% Take Home Assignments (THA, 8 x 1.5%)
8% VisuAlgo Quiz (2 x 4%)
20% Midterm
40% Final Exam
Module Difficulty
If you are taking this module, I assume you have already taken CS1010 or its equivalent, hence understands programming in a nutshell.
The whole programming part in this module will be in Java, so regardless of the Java crash course in the first week, I suggest you to learn Java elsewhere too.
Are the lecture contents easy? Yes and no. Yes because you might have seen this before and how it works. No because the questions assessed will be quite tricky given your understanding of the data structures and algorithms taught.
Are the assessments easy? Mostly not really. You've got to spend some time especially on the THAs although the deadline is 2 weeks. Sometimes, you have to be rained on ideas on solving the problems despite the hints given from the lab sessions and maybe the tutorial sessions. Do attend these as your presence will contribute to your grade and these sessions will help you on the ODAs and the THAs.
VisuAlgo quiz is not that hard if you practice over and over again. You can actually find a certain pattern or ""hack"" on the given questions.
Finally, is the final exam easy? No. As I said, some questions are tricky unless you have seen the insights before, either from PYPs or other platforms.
TLDR, nothing is easy but rest assured that they are indeed doable.
The workload below is measured weekly.
Lectures - 2h
If you have taken CS1231 before, this should be quite an advantage as some contents might be a review of what you've learned in CS1231. The content is understandable to me at least although it is quite exhaustive, including the hard parts which are actually based from intuitive ideas. I agree with the other reviewers that taking this during special term may be a very fast pace, since the whole module is quite exhaustive in 13 weeks, talk about 5/6 weeks.
Prof. Chong explains the material very well. We all loved his catchphrase after finishing his algorithm demonstrations with VisuAlgo, probably his signature phrase. You'll get to hear this if your lecturer is him.
Lab - 2h
Every lab sessions, the TA will explain about the recently covered data structure along with its algorithms, which will be the main topic of the upcoming ODA and THA. As the name suggests, ODAs are only for one day and these lab sessions are a chance for you to figure out how to solve them. Besides ODAs, there are also THAs which you can also consult on. Both of the VisuAlgo quizzes will be held during two of all the lab sessions.
Tutorials - 1h
Just like my review on CS1010S, it's a smaller group discussion which may provide support for those who are shy at asking questions during both lectures and recitaions, so feel free to reach out to them. It's also a very very final recap of the latest lecture content so make sure you understand it before the next lecture (this is my suggestion or else you'll be overwhelmed?)
Personal Opinion
Probably the most useful module for tech interviews, since they mostly cover about data structures and algorithms.
Prof. Chong mainly uses Kattis, so you can actually practice Java there beforehand! Leetcode or Hackerrank can also be an alternative to practice your coding in Java or at least your understanding of the data structures and algorithms mentioned in the module description.
ODAs are generally easier and less complicated than THAs. ODAs are mostly testing your ability to use the existing Java syntaxes that actually represents the currently taught data structure/algorithm. You are not required to build your own data structure for ODAs, unlike some THAs. For those taking during this special term (2021), you can actually compare the difficulties yourselves. Do reach out your TAs if you are still stuck on the last days of submission!
VisuAlgo quiz, as I have mentioned, are not that hard, but are also prone to mistakes. My suggestion is to practice with the hard questions over and over, keep track of the time spent, and recognize the patterns which will be eventually found if you keep retrying! You will be given 2 attempts for each assessment during the lab sessions, so make sure you make no mistake. For myself, there was enough time to recheck, so don't worry much about having no time to finish the quiz too.
Finally, midterm and final exam. It was conducted through LumiNUS and they both go with the same strategy. Practice all the past papers, especially the ones made by the respective lecturers, since it may be the most relevant of all. Spend enough time for reading all of them one by one during recess/reading week, and manage time well during the real exam. Despite being open book, I didn't have really much time checking them as I kept doing the exam questions until the end and rechecked without looking at the cheatsheets again.
One more thing, Java should be only for ODAs and THAs. You are not required to type out the Java code during the exams like CS1010 modules. An English explanation or a pseudocode will work, as long as the explanation is clear and works in optimal time complexity.
Expected grade : A
Final grade : Somewhere around expected",A,moderate,,,positive,useful,enjoyed,,,,,,,
5467724962,Văn Minh Lê,"Saturday, July 24, 2021 9:04 PM",5413942781,"uh huh, sound nice, gotta try",,,,,positive,,,,,,,,,
6840821907,Balasuriyan Ramachandran,"Saturday, February 21, 2026 10:27 PM",5413942781,thanks bro,,,,,,,,,,,,,,
6815577034,fkLeetcode,"Sunday, December 28, 2025 6:30 PM",,"AY25/26, Sem 1
Taught by Profs Sanka Rasnayaka, Roger Zimmermann, Low Kok Lim
Jampacked course, many things to learn (and master) but useful for interviews ig. I got spooked by the reviews here and spent about 3 months during the holidays exclusively starting Leetcode and learning Java before taking this course. This helped greatly and I was able to go through the course, especially the first half, without too much struggle. Despite enjoying CS2030 much more, I scored way better in this course because it’s so smurfable I guess. DP and greedy aren't really the focus here though they may inherently be part of other algorithms like APSP. There are a lot of assessments in this course, which on the one hand means the grade is more spread out, on the other hand very busy . I’ll only highlight the parts of the course that I have anything interesting to note, the rest can refer to other reviews.
Lectures
Start and end was taught by prof sanka, middle part taught by prof roger. In my opinion they are both pretty decent lecturers, but prof roger need to 2x speed him. The course is structured based on some CP4 textbook by prof s Halim .They provide crash course prerecorded lectures to learn Java at the start of the course, but it is wholly insufficient. Java is quite different from Python due to the OOP focus and static typing and being more verbose, so best to familiarise beforehand , I think learning it simultaneously thorugh CS2030 will just cause more stress haha.
The first half of the course goes through some data structures which you may already be familiar with (lists, hashmap), but focus on how they work under the hood, their limitations. For example hashmaps are usually fast, O(1) time complexity, but worst case can be like O(N) or smth. They also introduce the concept of time complexity, which might be completely new to some people, at least for CS1010e it was very briefly taught as ""the number of comparisons made"" or something by prof ksc but other 1010 variants might have gone through it better.
The second half goes through ""non linear data structures"", like trees and graphs. I feel this part was significantly more complex. Things like AVL trees, minimum spanning trees took me a while to really understand in detail. Drawing things out or testing in visualgo was useful for those topics. Maybe taking CS1231 or being more maths inclined would have helped for this part, especially those proofs for things like dijkstra. however I was ultimately able to skate by some of the more mathy topics, like graphs and time complexity, having grinded a good amount of LC graph questions (I am a lousy h1 maths student). Lucky they don’t cover DP and greedy or I think I’m screwed
Midterms
Midterms and finals have the same format as always, which is MCQ, then true false questions, then open ended questions on Examplify with open book.
This midterm paper felt rather manageable if you have been diligent with the tutorial questions and PYPs. I did a few of the Kattis questions that are provided weekly for practice but of those that I tried they seemed a bit too easy. Practising on Leetcode is useful for the open ended questions, but the first half of the paper focus more on therotical concepts which LC largely doesn't help with, rather use PYP for those. Some of the PYPs are so unbelievably brutal I could not solve more than half the questions. One of the open ended questions I figured out what to do as I got inspiration from one of the tutorial questions. Another open ended question on Linked Lists was literally a Leetcode question https://leetcode.com/problems/partition-list/ . Since I copied a lot of Leetcode solutions to my pdf, all I had to do was copy paste the answer word for word and get free 10 marks or so. The Edstem forum to ask questions to the profs and TAs was also pretty good to read through because some solutions were clarified there. If you somehow have the budget, maybe bring a bigger laptop screen to exam lol
Some other notes: Generally, midterms seem to always have a question on monotonic stacks (just google it). Linked List questions usually are also quite standard Leetcode 150 style. I mostly wrote in full pseudocode with Java and sometimes Python syntax which I regret in hindsight since it wastes a lot of time writing out menial things compared to using an “essay” format to answer the question, so should be more discerning about which format to use
Finals:
Finals almost exclusively test on graphs and trees despite the supposed scope being all topics. I didn't revise the first half topics at all. The MCQs were I think pretty tricky, but the other sections felt manageable. In fact I wasted quite a bit of time thinking through some of the true false and open ended because some of the questions were so suspiciously straightforward. While AVL trees and APSP I don't think are readily available problem types on LC, there is another site called UVA online judge or something which have these questions, however I didn't remember about this website until too late. I respect that the assessments in this course mostly didn’t involve bullshit full blown CP questions or IQ tests.
Other misc notes:
1. I think it’s very weird that the lab questions are needed to submit by the end of the lesson instead of the end of the day. Is the intention to reduce the use of AI abuse or what? Well it clearly won’t work since the questions are mostly the same as previous years so people can prep it before coming to class. Additionally the questions are released at the start of the day so those with labs at the end of the day have much more time to legally start. I’m pretty sure when push comes to shove they are flexible with the submission time, but then what is the point even of setting this format? Just set it to pass fail basis or smth.
2. I don't think the Visualgo quizzes are trivial at all. Definitely grindable but it took me quite some time to be comfortable with all the questions.
3. Thank god they reduce the number of THA from 4 of them to just 2 they are damn annoyihng
final grade: A
Grades (mean/median/low/high/LQ/UQ)
ILA 10%: 10/10 (9.86, 10, 0, 10, 10, 10)
THA 4%: 4/4 (3.8, 4, 0, 4, 4, 4)
WA 8%: 40/40 (31.61, 32, 3, 40, 28, 36)
Midterms 25%: 76/100 (51.43, 49, 14, 94, 41, 63)
Finals 40%: 65/100 (53.77, 54, 0, 94, 43, 64) (originally 64 but appealed and got 1 mark more)
Visuialgo quiz 1 4%: 15/15 (14.13, 15, 3, 15, 14, 15)
Visualgo quiz 2 4%: 15/15 (13.52, 14, 0, 15, 13, 15)
Lab attendance 2%: 2/2 (1.96, 2, 0, 2, 2, 2)
Tutorial attendance 1.5%: 1.5/1.5 (1.4, 1.5, 0, 1.5, 1.35, 1.5)
Tutorial participation 1.5%: 1.5/1.5 (1.41, 1.5, 0, 1.5, 1.5, 1.5)
Topics:
time complexity
sorting
arraylist, linked list
stack queue
hashmap/set
priority queue/heap
Union find/ disjoint set
Binary search tree/ AVL tree
Graphs
Minimum spanning tree
single source shortest path
all pairs shortest path",A,easy,light,,positive,useful,enjoyed,,,morning,participation_based,True,flexible,online
